Name,Party,Stiftung gemeinnütziger Wohnungsbau,Separativer Unterricht,Kündigung Bilaterale Verträge,Ausbau Stadion Schützenwiese,Kostenmiete statt Marktmiete,Public-Private-Partnerships,Verdichtetes Bauen,Bau von Windkraftanlagen,Engere Beziehungen zur EU,Verbot automatisierter Gesichtserkennung,Freie Marktwirtschaft,Einsatz von Sozialdetektiv/-innen,Barrierefreies Wohnen,Kürzung Sozialausgaben,Neubau Alterszentrum Adlergarten,Wohnungsvergabe an Einwohnende,Tagesschulen,Handyverbot an Schulen,Gleiche Bildungschancen,Stimmrecht für Ausländer/-innen,Abschaffung Wohnsitzpflicht,Gebührenfreie Einbürgerung unter 25,Selbstfinanzierte Sprachkurse für Ausländer/-innen,Ausbau Kulturförderung,Finanzierung Internationale Kurzfilmtage,Verbot geschlechtsneutraler Sprache,Steuersenkung,Schuldenabbau,Einstellungsstopp Stadtverwaltung,Strengere Kontrollen Lohngleichheit,Bessere Arbeitsbedingungen Stadtpersonal,Parkbewilligungen für Schichtarbeitende,Ökologische Mindeststandards im Bau,Lockerung Denkmal- und Ortsbildschutz,Sanierung Campingplatz Schützenweiher,Velowege statt Parkplätze,Verzicht auf Tram- und S-Bahn-Ausbau,Förderung motorisierter Individualverkehr,Förderung Fernwärmeanschluss,Förderung Dach- und Fassadenbegrünung,Begrünung Stadtraum,Digitale Stadtverwaltung,Ausbau Auslandshilfe,Strikte Neutralitätspolitik,Massnahmen gegen Littering,Massnahmen gegen Drogenkonsum,Stärkeres Engagement gegen häusliche Gewalt,Erhöhte Polizeipräsenz,Staatliche Umverteilung,Bestrafung von Kriminellen,Umweltschutz,About us,Methods,Partners & media
Gabriel Tanner,Grünliberale Partei,Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),5 (data-value=67),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather no (data-value=25),No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),5 (data-value=67),1 (data-value=0),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Edzard Paulussen,Grünliberale Partei,No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),5 (data-value=67),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),4 (data-value=50),6 (data-value=83),6 (data-value=83),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Patrick Ammersinn,Grünliberale Partei,No (data-value=0),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),7 (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),4 (data-value=50),1 (data-value=0),1 (data-value=0),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Sabin Brenner,Grünliberale Partei,Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),5 (data-value=67),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),4 (data-value=50),3 (data-value=33),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Lydia Patrizia Buchser,Grünliberale Partei,Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),5 (data-value=67),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),3 (data-value=33),3 (data-value=33),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Romano Albizzati,Grünliberale Partei,No (data-value=0),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),6 (data-value=83),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),3 (data-value=33),3 (data-value=33),4 (data-value=50),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Yvonne Martina Scheidegger,Grünliberale Partei,Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),5 (data-value=67),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),4 (data-value=50),3 (data-value=33),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Julien Gérard Anet,Grünliberale Partei,Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),5 (data-value=67),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),4 (data-value=50),2 (data-value=17),6 (data-value=83),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Irina Zürrer,Grünliberale Partei,No (data-value=0),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),6 (data-value=83),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),5 (data-value=67),2 (data-value=17),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Michael Freudiger,Grünliberale Partei,Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),4 (data-value=50),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),5 (data-value=67),2 (data-value=17),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Melanie Ottinger,Grünliberale Partei,Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),5 (data-value=67),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),5 (data-value=67),2 (data-value=17),6 (data-value=83),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Ran Comfort,Grünliberale Partei,No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),6 (data-value=83),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),2 (data-value=17),6 (data-value=83),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Özlem (Özi) Kaleli,Grünliberale Partei,Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),7 (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),7 (data-value=100),4 (data-value=50),4 (data-value=50),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Yves Crelier,Grünliberale Partei,No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),5 (data-value=67),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),6 (data-value=83),1 (data-value=0),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Martina Kofmehl-Göldi,Grünliberale Partei,Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),No (data-value=0),7 (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),5 (data-value=67),1 (data-value=0),2 (data-value=17),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Pascal Kägi,Grünliberale Partei,Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),5 (data-value=67),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),6 (data-value=83),2 (data-value=17),7 (data-value=100),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
